epoch,accuracy,loss,val_accuracy,val_loss
0,0.47771933674812317,1.196694254875183,0.5417867302894592,1.078363299369812
1,0.6648215055465698,0.8490771651268005,0.5504322648048401,1.1716933250427246
2,0.7282037138938904,0.6924025416374207,0.6051872968673706,1.0511176586151123
3,0.7951840758323669,0.5396315455436707,0.559077799320221,1.165365219116211
4,0.8261831998825073,0.4613099694252014,0.5706051588058472,1.271997332572937
5,0.8688070774078369,0.3546736538410187,0.5504322648048401,1.3389675617218018
6,0.8898422122001648,0.30591145157814026,0.5504322648048401,1.5739021301269531
7,0.9094935059547424,0.25799453258514404,0.5763688683509827,1.6875510215759277
8,0.9172433018684387,0.23519650101661682,0.5850144028663635,1.6483210325241089
9,0.9327428936958313,0.1952468901872635,0.5504322648048401,1.863332748413086
10,0.9451978802680969,0.1614028811454773,0.5648415088653564,1.6825991868972778
11,0.9551619291305542,0.13611683249473572,0.5561959743499756,1.8401689529418945
12,0.9518405795097351,0.1385333240032196,0.5734870433807373,2.1337692737579346
13,0.9604207277297974,0.11903957277536392,0.590778112411499,2.152923583984375
14,0.9656794667243958,0.10589750856161118,0.5706051588058472,2.2811291217803955
15,0.9662330746650696,0.09802946448326111,0.5821325778961182,2.3190982341766357
16,0.9681705236434937,0.0925321951508522,0.5936599373817444,2.303307294845581
17,0.972875714302063,0.0772256851196289,0.5821325778961182,2.3076279163360596
18,0.9654027223587036,0.09957872331142426,0.590778112411499,2.2613730430603027
19,0.9623581767082214,0.10680009424686432,0.5331411957740784,2.5334324836730957
20,0.9651259183883667,0.09608349204063416,0.5878962278366089,2.3945584297180176
21,0.9759202599525452,0.07434945553541183,0.5706051588058472,2.5675618648529053
22,0.9640188217163086,0.09849859029054642,0.5850144028663635,2.3421249389648438
23,0.9753667116165161,0.07290273904800415,0.5677233338356018,2.446352958679199
24,0.9709382653236389,0.07994076609611511,0.5475504398345947,2.6998965740203857
