epoch,accuracy,loss,val_accuracy,val_loss
0,0.3667312562465668,1.3337445259094238,0.44668588042259216,1.2677721977233887
1,0.6293938755989075,0.9952704906463623,0.6570605039596558,0.908551812171936
2,0.7899252772331238,0.5922142863273621,0.6743515729904175,0.7722450494766235
3,0.8519235849380493,0.42039626836776733,0.7089337110519409,0.7532272338867188
4,0.8768336772918701,0.3369390070438385,0.6858789920806885,0.8097911477088928
5,0.9075560569763184,0.27329587936401367,0.6945244669914246,0.8847691416740417
6,0.924439549446106,0.22003711760044098,0.6858789920806885,0.8965871930122375
7,0.9382784366607666,0.1865558624267578,0.6974063515663147,0.9394716024398804
8,0.9510102272033691,0.15640082955360413,0.6685879230499268,1.0679373741149902
9,0.9551619291305542,0.1365017145872116,0.680115282535553,1.0508053302764893
10,0.9637420177459717,0.12154322117567062,0.6714697480201721,1.1513372659683228
11,0.9678937196731567,0.11022619158029556,0.6858789920806885,1.1437857151031494
12,0.972875714302063,0.10071369260549545,0.6714697480201721,1.2686080932617188
13,0.9717686176300049,0.09031521528959274,0.6628242135047913,1.2780518531799316
14,0.9739828109741211,0.08209104090929031,0.6714697480201721,1.3030270338058472
15,0.977027416229248,0.08252904564142227,0.651296854019165,1.3480192422866821
16,0.9759202599525452,0.07862284034490585,0.6628242135047913,1.360208511352539
17,0.9759202599525452,0.07587025314569473,0.6685879230499268,1.3721084594726562
18,0.9759202599525452,0.07024399191141129,0.6484149694442749,1.4609756469726562
19,0.9767506122589111,0.06992043554782867,0.6685879230499268,1.4754031896591187
20,0.976473867893219,0.0668378621339798,0.6628242135047913,1.502920150756836
21,0.9775809645652771,0.06119295209646225,0.6714697480201721,1.503794550895691
22,0.9789648652076721,0.06167580559849739,0.6628242135047913,1.5366898775100708
23,0.9775809645652771,0.06273435056209564,0.6599423885345459,1.553180456161499
24,0.9784113168716431,0.055798351764678955,0.6570605039596558,1.58254873752594
